,ds,y
72,2019-08-12,5338.107361199999
73,2019-08-13,2865.1744165999994
74,2019-08-14,2687.0399209000007
75,2019-08-15,3391.6027108999997
76,2019-08-16,2170.4147273999997
77,2019-08-17,2130.9178282999997
78,2019-08-18,1117.8810070999998
79,2019-08-19,4024.506974
80,2019-08-20,2844.8015488999995
81,2019-08-21,2632.5507735
82,2019-08-22,2159.5872079
83,2019-08-23,1767.6034869999999
84,2019-08-24,1411.1093016
85,2019-08-25,2798.0976728
86,2019-08-26,3730.2519361000013
87,2019-08-27,2850.055037300001
88,2019-08-28,2923.0573625
89,2019-08-29,2371.902324
90,2019-08-30,3324.2996103000005
91,2019-08-31,2792.8767424000007
92,2019-09-01,5491.7379809
93,2019-09-02,4750.5631748000005
94,2019-09-03,4715.934492999999
95,2019-09-04,3523.577905
96,2019-09-05,2867.3209284
97,2019-09-06,3519.636431500001
98,2019-09-07,1845.6984486000001
99,2019-09-08,2970.1775180000004
100,2019-09-09,3833.9418582
101,2019-09-10,3218.367052400001
102,2019-09-11,2197.6418591
103,2019-09-12,1585.6550379999999
104,2019-09-13,1849.6375959000002
105,2019-09-14,1515.6957355
106,2019-09-15,1817.8930221000003
107,2019-09-16,2960.3751921000003
108,2019-09-17,2252.0980608
109,2019-09-18,1513.1651151999997
110,2019-09-19,1707.3170530999998
111,2019-09-20,1415.5294566999999
112,2019-09-21,900.9546505999999
113,2019-09-22,1588.4430223000002
114,2019-09-23,2188.8337194000005
115,2019-09-24,2484.3682159
116,2019-09-25,1483.9833323999999
117,2019-09-26,1524.1852703999998
118,2019-09-27,1661.4457351
119,2019-09-28,1583.7023248000003
120,2019-09-29,1446.5379836
121,2019-09-30,2229.1310065000002
122,2019-10-01,1414.7290687999998
123,2019-10-02,1172.6879837000001
124,2019-10-03,1492.1197662000002
125,2019-10-04,1161.3817823000002
126,2019-10-05,1268.3062008
127,2019-10-06,2173.4883707
128,2019-10-07,1369.0178285
129,2019-10-08,3964.446896800001
130,2019-10-09,1733.4872084
131,2019-10-10,2021.3034870999998
132,2019-10-11,1711.8655027000002
133,2019-10-12,1220.9941853999999
134,2019-10-13,1972.8678282999995
135,2019-10-14,3067.9093009
136,2019-10-15,2319.848060499999
137,2019-10-16,2763.6631769
138,2019-10-17,1166.5713171999998
139,2019-10-18,1159.6201545
140,2019-10-19,707.7007745999999
141,2019-10-20,2059.7410842
142,2019-10-21,1787.4945729000003
143,2019-10-22,2254.3732546
144,2019-10-23,1936.4794564
145,2019-10-24,1102.8573640000002
146,2019-10-25,1133.705038
147,2019-10-26,904.5104645
148,2019-10-27,682.2984493000001
149,2019-10-28,1774.4565880999999
150,2019-10-29,2085.8472856000003
151,2019-10-30,2255.173642
152,2019-10-31,1074.4437978
153,2019-11-01,972.8356583000001
154,2019-11-02,2007.271317
155,2019-11-03,2821.4794555
156,2019-11-04,1349.3817819000003
157,2019-11-05,1820.9046501
158,2019-11-06,2010.9868204999998
159,2019-11-07,799.4108523000001
160,2019-11-08,1020.2116271
161,2019-11-09,1466.8139525000004
162,2019-11-10,1215.7406967000002
163,2019-11-11,3257.6073624999995
164,2019-11-12,1697.7705415999997
165,2019-11-13,2564.6093005
166,2019-11-14,1677.3643399999999
167,2019-11-15,1545.9666657999996
168,2019-11-16,1258.9205419999998
169,2019-11-17,2351.3348822
170,2019-11-18,3029.3410830999997
171,2019-11-19,3048.6244165999997
172,2019-11-20,1591.6453478
173,2019-11-21,2731.660850699999
174,2019-11-22,2802.7422462
175,2019-11-23,2600.2934086
176,2019-11-24,5084.853097200003
177,2019-11-25,4727.975965300003
178,2019-11-26,3973.349609500001
179,2019-11-27,3232.4290672
180,2019-11-28,4599.206198300001
181,2019-11-29,9005.318599
182,2019-11-30,4341.8872059000005
183,2019-12-01,6302.678290300001
